1,0.0000 ,0.9963 ,0.0000 ,0.0000 ,0.0025 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0001 ,0.0008 ,0.0001 ,1
2,0.7945 ,0.0023 ,0.0002 ,0.0766 ,0.1133 ,0.0001 ,0.0084 ,0.0002 ,0.0035 ,0.0002 ,0.0001 ,0.0005 ,2
3,0.0000 ,0.9646 ,0.0027 ,0.0000 ,0.0225 ,0.0002 ,0.0000 ,0.0007 ,0.0036 ,0.0001 ,0.0013 ,0.0042 ,3
4,0.0002 ,0.0000 ,0.0001 ,0.0046 ,0.0001 ,0.0001 ,0.0001 ,0.9940 ,0.0000 ,0.0003 ,0.0001 ,0.0003 ,4
1,0.1647 ,0.8287 ,0.0027 ,0.0019 ,0.0003 ,0.0003 ,0.0003 ,0.0002 ,0.0004 ,0.0001 ,0.0003 ,0.0001 ,5
1,0.0002 ,0.3736 ,0.0004 ,0.0429 ,0.0037 ,0.0018 ,0.2231 ,0.3401 ,0.0006 ,0.0132 ,0.0001 ,0.0003 ,6
3,0.0074 ,0.9200 ,0.0234 ,0.0002 ,0.0286 ,0.0035 ,0.0002 ,0.0001 ,0.0131 ,0.0004 ,0.0029 ,0.0004 ,7
1,0.0003 ,0.2654 ,0.0332 ,0.0172 ,0.0002 ,0.0110 ,0.6412 ,0.0295 ,0.0009 ,0.0004 ,0.0001 ,0.0005 ,8
1,0.0067 ,0.1929 ,0.0048 ,0.0051 ,0.0057 ,0.0034 ,0.5636 ,0.0030 ,0.1883 ,0.0114 ,0.0028 ,0.0123 ,9
1,0.0000 ,0.0039 ,0.5858 ,0.0010 ,0.0008 ,0.0000 ,0.3762 ,0.0001 ,0.0210 ,0.0009 ,0.0091 ,0.0010 ,10
5,0.0001 ,0.4617 ,0.5243 ,0.0001 ,0.0001 ,0.0001 ,0.0100 ,0.0001 ,0.0000 ,0.0032 ,0.0001 ,0.0003 ,11
1,0.0100 ,0.0020 ,0.8087 ,0.0010 ,0.0011 ,0.0006 ,0.1543 ,0.0005 ,0.0003 ,0.0168 ,0.0023 ,0.0024 ,12
6,0.0002 ,0.0044 ,0.0246 ,0.0008 ,0.0310 ,0.0005 ,0.0002 ,0.0007 ,0.1934 ,0.0003 ,0.6446 ,0.0992 ,13
6,0.0001 ,0.0000 ,0.0001 ,0.0001 ,0.0001 ,0.0056 ,0.0001 ,0.9934 ,0.0000 ,0.0002 ,0.0001 ,0.0002 ,15
1,0.0000 ,0.0034 ,0.0000 ,0.0000 ,0.0000 ,0.0002 ,0.9922 ,0.0001 ,0.0000 ,0.0001 ,0.0000 ,0.0038 ,16
1,0.0031 ,0.0001 ,0.0181 ,0.0002 ,0.0492 ,0.5358 ,0.0025 ,0.3846 ,0.0013 ,0.0005 ,0.0039 ,0.0006 ,17
4,0.0024 ,0.0007 ,0.0017 ,0.0018 ,0.0020 ,0.0012 ,0.9793 ,0.0010 ,0.0007 ,0.0040 ,0.0010 ,0.0043 ,18
5,0.0001 ,0.5213 ,0.4577 ,0.0044 ,0.0010 ,0.0000 ,0.0054 ,0.0060 ,0.0011 ,0.0001 ,0.0005 ,0.0023 ,19
4,0.0009 ,0.0463 ,0.1533 ,0.0716 ,0.0007 ,0.0425 ,0.5585 ,0.1225 ,0.0002 ,0.0015 ,0.0004 ,0.0017 ,20
1,0.0012 ,0.6721 ,0.0008 ,0.0000 ,0.0000 ,0.3126 ,0.0009 ,0.0012 ,0.0000 ,0.0081 ,0.0000 ,0.0030 ,21
4,0.0015 ,0.0004 ,0.0010 ,0.0011 ,0.0012 ,0.0740 ,0.8496 ,0.0650 ,0.0004 ,0.0025 ,0.0006 ,0.0027 ,22
3,0.0005 ,0.0035 ,0.0121 ,0.0061 ,0.0004 ,0.6722 ,0.2909 ,0.0093 ,0.0008 ,0.0009 ,0.0023 ,0.0010 ,23
4,0.0009 ,0.0463 ,0.1533 ,0.0716 ,0.0007 ,0.0425 ,0.5585 ,0.1225 ,0.0002 ,0.0015 ,0.0004 ,0.0017 ,24
3,0.0007 ,0.0004 ,0.9894 ,0.0000 ,0.0000 ,0.0003 ,0.0017 ,0.0000 ,0.0006 ,0.0061 ,0.0000 ,0.0007 ,25
8,0.0010 ,0.0003 ,0.0094 ,0.0008 ,0.0009 ,0.0005 ,0.3704 ,0.0059 ,0.0013 ,0.0018 ,0.1039 ,0.5039 ,26
1,0.0002 ,0.6172 ,0.0093 ,0.0002 ,0.0013 ,0.0087 ,0.0018 ,0.0005 ,0.1836 ,0.0012 ,0.0413 ,0.1347 ,27
4,0.0034 ,0.0000 ,0.0001 ,0.9931 ,0.0001 ,0.0000 ,0.0028 ,0.0000 ,0.0000 ,0.0002 ,0.0000 ,0.0002 ,28
1,0.0001 ,0.3176 ,0.0001 ,0.0001 ,0.0013 ,0.1838 ,0.0044 ,0.4898 ,0.0023 ,0.0002 ,0.0000 ,0.0002 ,29
2,0.1159 ,0.0009 ,0.8692 ,0.0036 ,0.0025 ,0.0006 ,0.0010 ,0.0005 ,0.0006 ,0.0020 ,0.0010 ,0.0022 ,30
1,0.0009 ,0.0415 ,0.1769 ,0.0717 ,0.0007 ,0.0390 ,0.5441 ,0.1214 ,0.0002 ,0.0016 ,0.0004 ,0.0017 ,31
5,0.0002 ,0.0038 ,0.7430 ,0.0009 ,0.0002 ,0.0355 ,0.2077 ,0.0076 ,0.0001 ,0.0003 ,0.0005 ,0.0004 ,32
3,0.0001 ,0.0062 ,0.0014 ,0.0007 ,0.0012 ,0.0000 ,0.0021 ,0.6477 ,0.0025 ,0.0001 ,0.3375 ,0.0006 ,33
8,0.0042 ,0.0012 ,0.0030 ,0.9627 ,0.0036 ,0.0021 ,0.0035 ,0.0019 ,0.0012 ,0.0072 ,0.0018 ,0.0077 ,34
6,0.0785 ,0.0175 ,0.0483 ,0.0518 ,0.0002 ,0.0039 ,0.1285 ,0.0038 ,0.3325 ,0.0004 ,0.1866 ,0.1480 ,35
6,0.0042 ,0.2641 ,0.0026 ,0.0004 ,0.0005 ,0.0172 ,0.6558 ,0.0015 ,0.0295 ,0.0109 ,0.0002 ,0.0131 ,38
